,Borough,ZipCode,Block,Lot,BldgClassCategory,TotalNoOfUnits,LandAreaInSqFt,GrossAreaInSqFt,YearOfConstruction,TaxClass_AtEvaluationTime,BldgClass_AtEvaluationTime,PropertyEvaluationvalue,Property_Age,Evaluation_date,Evaluation_month
0,1,10456,2927,127,2,2,1900,2394,1990,1,9,540000,32,3059.0,5
1,1,10457,3037,110,2,2,1687,3037,2002,1,13,750000,20,2953.0,9
2,1,10457,2912,155,2,2,2000,2400,1989,1,9,470000,33,2938.0,9
3,1,10457,2929,134,2,2,2356,2394,1991,1,9,570000,31,3053.0,6
4,1,10457,3036,140,2,2,3346,2308,1993,1,9,640000,29,2806.0,2
5,1,10457,2912,26,2,2,2000,5940,2007,2,25,1350000,15,2758.0,3
6,1,10458,3039,159,2,2,2033,2400,1993,1,9,400000,29,2990.0,8
7,1,10457,2929,128,2,2,2361,2394,1991,1,9,514216,31,2788.0,2
8,1,10457,2929,119,2,2,2432,2394,1991,1,9,679000,31,2878.0,11
9,1,10457,3034,137,2,2,2663,3204,1991,1,9,520000,31,3005.0,7
10,1,10457,3068,39,2,2,1890,3276,2002,1,13,737500,20,3017.0,7
11,1,10460,3122,119,2,2,1958,3516,2005,1,13,400000,17,3670.0,9
12,1,10457,3080,111,2,2,1350,1540,1991,1,9,500000,31,2779.0,3
13,1,10457,3068,143,2,2,1343,2700,2006,1,13,655000,16,3100.0,4
14,1,10460,2960,149,2,2,1950,4189,2006,1,13,365000,16,3473.0,4
15,1,10457,3080,112,2,2,1462,1540,1995,1,9,390000,27,3608.0,11
16,1,10457,3068,39,2,2,1890,4168,2006,1,13,430000,16,3566.0,1
17,1,10457,3093,142,2,2,1967,2280,1994,1,13,280000,28,3587.0,12
18,1,10457,3080,114,2,2,1462,1540,1991,1,9,485000,31,3093.0,4
19,1,10460,3108,7,2,2,3223,3024,1990,1,13,750000,32,2813.0,1
20,1,10457,3063,152,2,1,2001,1364,1981,1,5,425000,41,3053.0,6
21,1,10457,3060,121,2,2,1750,2300,1998,1,9,610000,24,2924.0,10
22,1,10460,3117,114,2,2,1929,3991,1999,2,16,720000,23,3087.0,5
23,1,10460,3122,58,2,2,2763,4554,2001,1,13,575000,21,2966.0,8
24,1,10460,3909,24,2,1,9200,1972,1968,4,25,1408300,54,3445.0,5
25,1,10457,2947,43,2,2,1464,2204,2000,1,13,650000,22,3046.0,6
26,1,10460,3129,36,2,2,2338,3013,1997,1,13,430000,25,3406.0,6
27,1,10460,2955,130,2,2,1666,2700,2003,1,9,466000,19,2897.0,11
28,1,10460,3131,14,2,2,1986,2205,1988,1,10,635000,34,2844.0,12
29,1,10460,3107,160,2,2,2844,2469,1995,1,13,382000,27,3361.0,8
30,1,10460,3122,142,2,2,1979,3042,1996,1,9,675000,26,2949.0,9
31,1,10460,3118,157,2,2,4496,4488,1989,4,25,700000,33,3621.0,11
32,1,10460,3133,113,2,2,1610,4012,2004,1,13,350000,18,3451.0,5
33,1,10453,3192,22,2,2,1860,2340,1992,1,9,585000,30,2847.0,12
34,1,10457,3144,2,2,2,1688,3093,2002,1,13,628000,20,3022.0,7
35,1,10457,3144,3,2,2,1739,3093,2002,1,13,660000,20,2848.0,12
36,1,10458,3022,58,2,2,14092,67570,1942,2,24,7700000,80,3594.0,12
37,1,10457,2796,50,2,2,6270,28200,1957,2,20,5100000,65,2975.0,8
38,1,10457,2786,15,2,2,1320,4024,2007,1,13,486720,15,3493.0,3
39,1,10457,2890,96,2,2,1829,2062,1998,1,9,593000,24,2949.0,9
40,1,10452,2846,2,2,1,794,640,1974,4,25,635310,48,3073.0,5
41,1,10457,2800,33,2,1,4799,4510,1985,4,25,1350000,37,2815.0,1
42,1,10457,2786,16,2,2,1320,4024,2007,1,13,480000,15,3549.0,1
43,1,10457,2812,26,2,2,2362,3674,2003,1,13,1760000,19,3016.0,7
44,1,10452,2846,74,2,2,15300,78000,1941,2,20,6506896,81,3587.0,12
45,3,10306,4228,7,2,1,4000,975,1950,1,2,385000,72,3438.0,5
46,3,10306,4058,158,2,2,4465,2150,1960,1,10,515000,62,3530.0,2
47,3,10306,3643,53,2,1,5000,1296,1946,1,2,640000,76,3078.0,5
48,3,10306,3621,28,2,1,2200,1280,1971,1,5,450000,51,2868.0,12
49,3,10306,4058,73,2,1,2377,1800,1996,1,5,370000,26,3648.0,10
50,3,10306,4242,17,2,1,5410,1056,1956,1,2,625000,66,2903.0,11
51,3,10306,4058,307,2,1,3731,1873,1961,1,2,628000,61,3058.0,5
